LATITUDE,LONGITUDE,PRCP
37.3577,-83.7705,193
42.113,-91.1405,40.9
41.9324,-88.747,73.7
41.9174,-88.6891,72.1
42.5491,-88.8752,95.9
36.4197,-90.5858,233.5
40.1019,-87.5961,128.5
39.6104,-82.9555,136.5
36.1973,-87.3644,248.7
35.2152,-86.7799,304.1
35.2076,-83.3173,127.2
36.1272,-87.4598,323.2
36.1207,-86.8345,305.2
41.2104,-87.2054,199.3
39.9077,-86.3116,101.2
35.9875,-87.4252,302.6
35.1618,-83.3258,156.6
35.3782,-88.549,317.1
38.7245,-90.1069,153.4
39.6437,-86.1856,135.2
42.93,-84.1046,113.5
39.3444,-91.171,103.6
38.7348,-90.0962,76.5
35.9732,-88.6849,353.6
36.0346,-88.244,307
41.8939,-88.4761,100.9
35.7998,-84.168,202.8
42.1575,-90.7063,80.9
35.8113,-84.0839,196.1
35.5952,-88.1175,343.1
35.5206,-91.9997,337.9
42.0404,-88.3366,96.4
38.1479,-91.4468,157.5
35.6394,-84.665,213.5
35.7103,-88.8223,359.1
42.2391,-83.6958,104
42.6508,-88.2544,70.4
40.5379,-90.0421,107.2
41.1204,-90.1641,103.2
35.2894,-91.3533,273.9
37.15605,-91.36015,107.9
41.3763,-82.0992,74
35.8843,-84.6149,250.3
40.5938,-91.1467,97.1
